,name,company,year,Price,kms_driven,fuel_type,image,Seating,logo
67,EcoSport Titanium,Ford,2014,520000,57000,Diesel,Ford.png,5,Ford_logo.png
68,EcoSport Titanium,Ford,2014,500000,40000,Diesel,Ford.png,5,Ford_logo.png
69,EcoSport Titanium,Ford,2014,590000,34000,Diesel,Ford.png,5,Ford_logo.png
70,EcoSport Trend,Ford,2016,830000,24330,Diesel,Ford.png,5,Ford_logo.png
71,EcoSport Trend,Ford,2013,495000,38000,Diesel,Ford.png,5,Ford_logo.png
72,EcoSport Trend,Ford,2017,580000,10000,Petrol,Ford.png,5,Ford_logo.png
73,EcoSport Trend,Ford,2014,465000,47000,Petrol,Ford.png,5,Ford_logo.png
74,EcoSport Trend,Ford,2014,400000,16000,Petrol,Ford.png,5,Ford_logo.png
75,Endeavor 4x4,Ford,2019,2900000,9000,Diesel,Ford.png,7,Ford_logo.png
76,Fiesta,Ford,2011,274999,55000,Diesel,Ford.png,7,Ford_logo.png
77,Fiesta SXi,Ford,2009,250000,56400,Petrol,Ford.png,7,Ford_logo.png
78,Figo,Ford,2012,175000,41000,Diesel,Ford.png,7,Ford_logo.png
79,Figo Diesel,Ford,2012,210000,35000,Diesel,Ford.png,7,Ford_logo.png
80,Figo Diesel,Ford,2014,195000,50000,Diesel,Ford.png,7,Ford_logo.png
81,Figo Duratorq,Ford,2012,250000,99000,Diesel,Ford.png,7,Ford_logo.png
82,Figo Petrol,Ford,2011,175000,75000,Petrol,Ford.png,7,Ford_logo.png
83,Figo Petrol,Ford,2019,525000,0,Petrol,Ford.png,7,Ford_logo.png
84,Fusion 1.4,Ford,2007,125000,85455,Diesel,Ford.png,7,Ford_logo.png
85,Ikon 1.3,Ford,2001,45000,65000,Petrol,Ford.png,7,Ford_logo.png
86,Ikon 1.3,Ford,2008,95000,46000,Petrol,Ford.png,7,Ford_logo.png
87,Ikon 1.6,Ford,2003,60000,50000,Petrol,Ford.png,7,Ford_logo.png
88,Motors Ambassador,Hindustan,2000,70000,200000,Diesel,Hindustan.png,5,Hindustan_logo.png
89,Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Hindustan.png,5,Hindustan_logo.png
90,Motors Ambassador,Hindustan,1995,750000,37000,Petrol,Hindustan.png,5,Hindustan_logo.png
91,Accord,Honda,2009,175000,58559,Petrol,Honda.png,5,Honda_logo.png
92,Amaze,Honda,2013,284999,46000,Diesel,Honda.png,5,Honda_logo.png
93,Amaze,Honda,2015,344999,22000,Petrol,Honda.png,5,Honda_logo.png
94,Amaze,Honda,2014,299999,37000,Petrol,Honda.png,5,Honda_logo.png
95,Amaze,Honda,2014,274999,35000,Petrol,Honda.png,5,Honda_logo.png
96,Amaze,Honda,2013,250000,55700,Diesel,Honda.png,5,Honda_logo.png
97,Amaze 1.2,Honda,2014,325000,42000,Petrol,Honda.png,5,Honda_logo.png
98,Amaze 1.2,Honda,2014,311000,33000,Petrol,Honda.png,5,Honda_logo.png
99,Amaze 1.2,Honda,2014,381000,6000,Petrol,Honda.png,5,Honda_logo.png
100,Amaze 1.5,Honda,2015,345000,36000,Diesel,Honda.png,5,Honda_logo.png
101,Amaze 1.5,Honda,2013,299000,45000,Diesel,Honda.png,5,Honda_logo.png
102,Amaze 1.5,Honda,2016,240000,160000,Diesel,Honda.png,5,Honda_logo.png
103,Brio,Honda,2012,224999,30000,Petrol,Honda.png,5,Honda_logo.png
104,Brio V,Honda,2012,235000,33000,Petrol,Honda.png,5,Honda_logo.png
105,Brio VX,Honda,2017,450000,11000,Petrol,Honda.png,5,Honda_logo.png
106,City,Honda,2015,499999,55000,Petrol,Honda.png,5,Honda_logo.png
107,City,Honda,2015,448999,54000,Petrol,Honda.png,5,Honda_logo.png
108,City,Honda,2015,599999,30000,Diesel,Honda.png,5,Honda_logo.png
109,City,Honda,2014,544999,45000,Diesel,Honda.png,5,Honda_logo.png
110,City,Honda,2012,399999,45000,Petrol,Honda.png,5,Honda_logo.png
111,City,Honda,2015,599999,39000,Diesel,Honda.png,5,Honda_logo.png
112,City,Honda,2011,284999,55000,Petrol,Honda.png,5,Honda_logo.png
113,City,Honda,2015,644999,39000,Petrol,Honda.png,5,Honda_logo.png
114,City,Honda,2014,584999,39000,Petrol,Honda.png,5,Honda_logo.png
115,City,Honda,2000,65000,80000,Petrol,Honda.png,5,Honda_logo.png
116,City,Honda,2017,750000,3000,Petrol,Honda.png,5,Honda_logo.png
117,City 1.5,Honda,2011,280000,33000,Petrol,Honda.png,5,Honda_logo.png
118,City 1.5,Honda,2005,90000,50000,Petrol,Honda.png,5,Honda_logo.png
119,City 1.5,Honda,2010,285000,35000,Petrol,Honda.png,5,Honda_logo.png
120,City 1.5,Honda,2014,549000,39000,Petrol,Honda.png,5,Honda_logo.png
121,City 1.5,Honda,2010,240000,400000,Petrol,Honda.png,5,Honda_logo.png
122,City 1.5,Honda,2010,225000,70000,Petrol,Honda.png,5,Honda_logo.png
123,City 1.5,Honda,2014,499000,22000,Petrol,Honda.png,5,Honda_logo.png
124,City 1.5,Honda,2009,269000,55000,Petrol,Honda.png,5,Honda_logo.png
125,City 1.5,Honda,2005,120000,68000,Petrol,Honda.png,5,Honda_logo.png
126,City 1.5,Honda,2005,95000,41000,Petrol,Honda.png,5,Honda_logo.png
127,City 1.5,Honda,2005,115000,68000,Petrol,Honda.png,5,Honda_logo.png
128,City 1.5,Honda,2009,270000,55000,Petrol,Honda.png,5,Honda_logo.png
129,City SV,Honda,2017,760000,4000,Petrol,Honda.png,5,Honda_logo.png
130,City SV,Honda,2014,475000,34000,Diesel,Honda.png,5,Honda_logo.png
131,City VX,Honda,2016,519000,52000,Diesel,Honda.png,5,Honda_logo.png
132,City VX,Honda,2016,860000,95000,Petrol,Honda.png,5,Honda_logo.png
133,City ZX,Honda,2017,170000,15000,Diesel,Honda.png,5,Honda_logo.png
134,City ZX,Honda,2008,110000,45000,Petrol,Honda.png,5,Honda_logo.png
135,City ZX,Honda,2008,149000,42000,Petrol,Honda.png,5,Honda_logo.png
136,City ZX,Honda,2006,180000,50000,Petrol,Honda.png,5,Honda_logo.png
137,Jazz S,Honda,2009,169999,24695,Petrol,Honda.png,5,Honda_logo.png
138,Jazz VX,Honda,2016,450000,41000,Petrol,Honda.png,5,Honda_logo.png
139,Mobilio,Honda,2014,399999,44000,Petrol,Honda.png,7,Honda_logo.png
140,Mobilio S,Honda,2014,399000,44000,Diesel,Honda.png,7,Honda_logo.png
141,WR V,Honda,2009,250000,60000,Petrol,Honda.png,5,Honda_logo.png
142,Accent,Hyundai,2010,99999,45000,Petrol,Hyundai.png,7,Hyundai_logo.png
143,Accent Executive,Hyundai,2009,165000,48000,Petrol,Hyundai.png,5,Hyundai_logo.png
144,Accent GLE,Hyundai,2006,90000,55000,Petrol,Hyundai.png,5,Hyundai_logo.png
145,Accent GLX,Hyundai,2006,80000,56000,Petrol,Hyundai.png,5,Hyundai_logo.png
146,Creta,Hyundai,2016,900000,60000,Diesel,Hyundai.png,7,Hyundai_logo.png
147,Creta 1.6,Hyundai,2017,895000,32000,Petrol,Hyundai.png,7,Hyundai_logo.png
148,Creta 1.6,Hyundai,2016,950000,25000,Petrol,Hyundai.png,7,Hyundai_logo.png
149,Creta 1.6,Hyundai,2016,1000000,8000,Petrol,Hyundai.png,5,Hyundai_logo.png
150,Creta 1.6,Hyundai,2019,1200000,0,Petrol,Hyundai.png,5,Hyundai_logo.png
151,Elantra 1.8,Hyundai,2012,500000,65000,Petrol,Hyundai.png,7,Hyundai_logo.png
152,Elantra SX,Hyundai,2013,600000,20000,Petrol,Hyundai.png,5,Hyundai_logo.png
153,Elite i20,Hyundai,2014,415000,32000,Petrol,Hyundai.png,7,Hyundai_logo.png
154,Elite i20,Hyundai,2014,415000,32000,Petrol,Hyundai.png,5,Hyundai_logo.png
155,Elite i20,Hyundai,2018,599999,21000,Petrol,Hyundai.png,5,Hyundai_logo.png
156,Elite i20,Hyundai,2016,549999,9000,Petrol,Hyundai.png,5,Hyundai_logo.png
157,Elite i20,Hyundai,2015,450000,20000,Diesel,Hyundai.png,7,Hyundai_logo.png
158,Elite i20,Hyundai,2018,600000,7800,Petrol,Hyundai.png,7,Hyundai_logo.png
159,Elite i20,Hyundai,2015,405000,28000,Petrol,Hyundai.png,7,Hyundai_logo.png
160,Elite i20,Hyundai,2015,400000,30000,Petrol,Hyundai.png,7,Hyundai_logo.png
161,Elite i20,Hyundai,2015,419000,20000,Petrol,Hyundai.png,7,Hyundai_logo.png
162,Elite i20,Hyundai,2017,550000,15000,Petrol,Hyundai.png,7,Hyundai_logo.png
163,Elite i20,Hyundai,2015,500000,22000,Petrol,Hyundai.png,7,Hyundai_logo.png
164,Elite i20,Hyundai,2015,470000,30000,Petrol,Hyundai.png,7,Hyundai_logo.png
165,Elite i20,Hyundai,2017,599999,31000,Petrol,Hyundai.png,7,Hyundai_logo.png
166,Elite i20,Hyundai,2011,290000,40000,Petrol,Hyundai.png,5,Hyundai_logo.png
167,Elite i20,Hyundai,2018,510000,2100,Petrol,Hyundai.png,5,Hyundai_logo.png
168,Eon,Hyundai,2013,190000,25000,Petrol,Hyundai.png,4,Hyundai_logo.png
169,Eon,Hyundai,2014,174999,14000,Petrol,Hyundai.png,4,Hyundai_logo.png
170,Eon,Hyundai,2014,200000,28000,Petrol,Hyundai.png,4,Hyundai_logo.png
171,Eon,Hyundai,2018,260000,25000,Petrol,Hyundai.png,4,Hyundai_logo.png
172,Eon D,Hyundai,2016,120000,87000,Petrol,Hyundai.png,4,Hyundai_logo.png
173,Eon D,Hyundai,2018,260000,25000,Petrol,Hyundai.png,4,Hyundai_logo.png
174,Eon D,Hyundai,2018,280000,35000,Petrol,Hyundai.png,4,Hyundai_logo.png
175,Eon D,Hyundai,2013,170000,20000,Petrol,Hyundai.png,4,Hyundai_logo.png
176,Eon Era,Hyundai,2013,185000,27000,Petrol,Hyundai.png,4,Hyundai_logo.png
177,Eon Era,Hyundai,2018,140000,2110,Petrol,Hyundai.png,4,Hyundai_logo.png
178,Eon Era,Hyundai,2013,190000,39700,Petrol,Hyundai.png,4,Hyundai_logo.png
179,Eon Era,Hyundai,2012,188000,38000,Petrol,Hyundai.png,4,Hyundai_logo.png
180,Eon Era,Hyundai,2014,200000,28400,Petrol,Hyundai.png,4,Hyundai_logo.png
181,Eon Magna,Hyundai,2014,190000,35000,Petrol,Hyundai.png,4,Hyundai_logo.png
182,Eon Magna,Hyundai,2013,185000,23000,Petrol,Hyundai.png,4,Hyundai_logo.png
183,Eon Magna,Hyundai,2017,300000,1600,Petrol,Hyundai.png,4,Hyundai_logo.png
184,Eon Sportz,Hyundai,2012,178000,30000,Petrol,Hyundai.png,4,Hyundai_logo.png
185,Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Hyundai.png,7,Hyundai_logo.png
186,Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Hyundai.png,5,Hyundai_logo.png
187,Fluidic Verna,Hyundai,2013,350000,117000,Diesel,Hyundai.png,5,Hyundai_logo.png
188,Getz,Hyundai,2006,125000,80000,Petrol,Hyundai.png,5,Hyundai_logo.png
189,Getz GLE,Hyundai,2007,99000,55000,Petrol,Hyundai.png,5,Hyundai_logo.png
190,Getz Prime,Hyundai,2009,110000,20000,Petrol,Hyundai.png,5,Hyundai_logo.png
191,Getz Prime,Hyundai,2009,115000,20000,Petrol,Hyundai.png,5,Hyundai_logo.png
192,Grand i10,Hyundai,2014,325000,28000,Petrol,Hyundai.png,5,Hyundai_logo.png
193,Grand i10,Hyundai,2014,345000,49000,Diesel,Hyundai.png,5,Hyundai_logo.png
194,Grand i10,Hyundai,2014,365000,20000,Petrol,Hyundai.png,7,Hyundai_logo.png
195,Grand i10,Hyundai,2014,410000,41000,Petrol,Hyundai.png,5,Hyundai_logo.png
196,Grand i10,Hyundai,2014,365000,20000,Petrol,Hyundai.png,5,Hyundai_logo.png
197,Grand i10,Hyundai,2017,524999,6821,Petrol,Hyundai.png,5,Hyundai_logo.png
198,Grand i10,Hyundai,2017,450000,15141,Petrol,Hyundai.png,7,Hyundai_logo.png
199,Grand i10,Hyundai,2016,280000,59910,Diesel,Hyundai.png,7,Hyundai_logo.png
200,Grand i10,Hyundai,2014,340000,35000,Petrol,Hyundai.png,7,Hyundai_logo.png
201,Grand i10,Hyundai,2017,400000,20000,Petrol,Hyundai.png,5,Hyundai_logo.png
202,Grand i10,Hyundai,2015,340000,53000,Petrol,Hyundai.png,5,Hyundai_logo.png
203,Grand i10,Hyundai,2014,340000,25000,Petrol,Hyundai.png,7,Hyundai_logo.png
204,Grand i10,Hyundai,2016,380000,27000,Petrol,Hyundai.png,7,Hyundai_logo.png
205,Grand i10,Hyundai,2017,424999,2550,Petrol,Hyundai.png,5,Hyundai_logo.png
206,Grand i10,Hyundai,2014,320000,41000,Petrol,Hyundai.png,7,Hyundai_logo.png
207,i10,Hyundai,2012,244999,38000,Petrol,Hyundai.png,7,Hyundai_logo.png
208,i10,Hyundai,2009,215000,27000,Petrol,Hyundai.png,5,Hyundai_logo.png
209,i10 Era,Hyundai,2011,175000,30000,Petrol,Hyundai.png,5,Hyundai_logo.png
210,i10 Magna,Hyundai,2014,265000,18000,Petrol,Hyundai.png,5,Hyundai_logo.png
211,i10 Magna,Hyundai,2011,175000,45000,Petrol,Hyundai.png,7,Hyundai_logo.png
212,i10 Magna,Hyundai,2008,275000,100200,Petrol,Hyundai.png,5,Hyundai_logo.png
213,i10 Magna,Hyundai,2009,170000,75000,Petrol,Hyundai.png,7,Hyundai_logo.png
214,i10 Magna,Hyundai,2009,400000,33000,Petrol,Hyundai.png,7,Hyundai_logo.png
215,i10 Sportz,Hyundai,2010,168000,45872,Petrol,Hyundai.png,5,Hyundai_logo.png
216,i10 Sportz,Hyundai,2012,230000,34000,Petrol,Hyundai.png,7,Hyundai_logo.png
217,i10 Sportz,Hyundai,2011,220000,38000,Petrol,Hyundai.png,5,Hyundai_logo.png
218,i20,Hyundai,2009,199000,31000,Petrol,Hyundai.png,7,Hyundai_logo.png
219,i20,Hyundai,2014,449999,23000,Petrol,Hyundai.png,5,Hyundai_logo.png
220,i20 Active,Hyundai,2015,500000,18000,Petrol,Hyundai.png,7,Hyundai_logo.png
221,i20 Active,Hyundai,2015,535000,37000,Diesel,Hyundai.png,7,Hyundai_logo.png
222,i20 Active,Hyundai,2015,500000,18000,Petrol,Hyundai.png,5,Hyundai_logo.png
223,i20 Active,Hyundai,2015,574999,35000,Diesel,Hyundai.png,7,Hyundai_logo.png
224,i20 Asta,Hyundai,2012,329500,36200,Diesel,Hyundai.png,5,Hyundai_logo.png
225,i20 Asta,Hyundai,2009,210000,65480,Petrol,Hyundai.png,5,Hyundai_logo.png
226,i20 Asta,Hyundai,2010,300000,10750,Petrol,Hyundai.png,5,Hyundai_logo.png
227,i20 Asta,Hyundai,2014,425000,31000,Petrol,Hyundai.png,7,Hyundai_logo.png
228,i20 Magna,Hyundai,2009,195000,32000,Petrol,Hyundai.png,5,Hyundai_logo.png
229,i20 Magna,Hyundai,2013,310000,35000,Petrol,Hyundai.png,7,Hyundai_logo.png
230,i20 Magna,Hyundai,2010,195000,36000,Petrol,Hyundai.png,7,Hyundai_logo.png
231,i20 Magna,Hyundai,2010,210000,50000,Petrol,Hyundai.png,7,Hyundai_logo.png
232,i20 Magna,Hyundai,2011,240000,42000,Petrol,Hyundai.png,5,Hyundai_logo.png
233,i20 Magna,Hyundai,2011,230000,47000,Petrol,Hyundai.png,7,Hyundai_logo.png
234,i20 Select,Hyundai,2011,290000,40000,Petrol,Hyundai.png,5,Hyundai_logo.png
235,i20 Sportz,Hyundai,2012,100000,55000,Petrol,Hyundai.png,7,Hyundai_logo.png
236,i20 Sportz,Hyundai,2011,350000,33333,Diesel,Hyundai.png,5,Hyundai_logo.png
237,i20 Sportz,Hyundai,2014,370000,60000,Diesel,Hyundai.png,5,Hyundai_logo.png
238,Santro,Hyundai,2000,51999,88000,Petrol,Hyundai.png,5,Hyundai_logo.png
239,Santro,Hyundai,2003,60000,51000,Petrol,Hyundai.png,5,Hyundai_logo.png
240,Santro,Hyundai,2002,60000,47000,Petrol,Hyundai.png,7,Hyundai_logo.png
241,Santro AE,Hyundai,2011,165000,45000,Petrol,Hyundai.png,5,Hyundai_logo.png
242,Santro AE,Hyundai,2003,60000,70000,Petrol,Hyundai.png,7,Hyundai_logo.png
243,Santro Xing,Hyundai,2007,80000,45000,Petrol,Hyundai.png,4,Hyundai_logo.png
244,Santro Xing,Hyundai,2007,80000,45000,Petrol,Hyundai.png,7,Hyundai_logo.png
245,Santro Xing,Hyundai,2005,49000,7500,Petrol,Hyundai.png,7,Hyundai_logo.png
246,Santro Xing,Hyundai,2000,59000,56450,Petrol,Hyundai.png,5,Hyundai_logo.png
247,Santro Xing,Hyundai,2006,75000,46000,Petrol,Hyundai.png,7,Hyundai_logo.png
248,Santro Xing,Hyundai,2003,120000,50000,Petrol,Hyundai.png,5,Hyundai_logo.png
249,Santro Xing,Hyundai,2014,179000,57000,Petrol,Hyundai.png,7,Hyundai_logo.png
250,Santro Xing,Hyundai,2007,115000,46000,Petrol,Hyundai.png,5,Hyundai_logo.png
251,Santro Xing,Hyundai,2009,88000,43200,Petrol,Hyundai.png,5,Hyundai_logo.png
252,Santro Xing,Hyundai,2007,135000,42000,Petrol,Hyundai.png,5,Hyundai_logo.png
253,Santro Xing,Hyundai,2007,135000,47000,Petrol,Hyundai.png,5,Hyundai_logo.png
254,Santro Xing,Hyundai,2007,135000,46000,Petrol,Hyundai.png,7,Hyundai_logo.png
255,Santro Xing,Hyundai,2007,55000,65000,Petrol,Hyundai.png,7,Hyundai_logo.png
256,Santro Xing,Hyundai,2006,85000,60000,Petrol,Hyundai.png,7,Hyundai_logo.png
257,Santro Xing,Hyundai,2004,45000,137495,Petrol,Hyundai.png,5,Hyundai_logo.png
258,Sonata Transform,Hyundai,2017,190000,36469,Diesel,Hyundai.png,7,Hyundai_logo.png
259,Verna,Hyundai,2014,489999,44000,Diesel,Hyundai.png,7,Hyundai_logo.png
260,Verna 1.4,Hyundai,2014,375000,36000,Petrol,Hyundai.png,7,Hyundai_logo.png
261,Verna 1.6,Hyundai,2017,800000,12000,Petrol,Hyundai.png,7,Hyundai_logo.png
262,Verna 1.6,Hyundai,2016,195000,56000,Diesel,Hyundai.png,5,Hyundai_logo.png
263,Verna 1.6,Hyundai,2019,900000,2000,Petrol,Hyundai.png,5,Hyundai_logo.png
264,Verna 1.6,Hyundai,2018,855000,42000,Diesel,Hyundai.png,7,Hyundai_logo.png
265,Verna 1.6,Hyundai,2012,600000,29000,Diesel,Hyundai.png,7,Hyundai_logo.png
266,Verna Fluidic,Hyundai,2015,525000,35000,Diesel,Hyundai.png,5,Hyundai_logo.png
267,Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Hyundai.png,5,Hyundai_logo.png
268,Verna Fluidic,Hyundai,2013,401000,45000,Diesel,Hyundai.png,5,Hyundai_logo.png
269,Verna Fluidic,Hyundai,2012,350000,10000,Diesel,Hyundai.png,5,Hyundai_logo.png
270,Verna Fluidic,Hyundai,2015,430000,73000,Diesel,Hyundai.png,5,Hyundai_logo.png
271,Verna Fluidic,Hyundai,2011,365000,43000,Diesel,Hyundai.png,5,Hyundai_logo.png
272,Verna Transform,Hyundai,2008,160000,45000,Petrol,Hyundai.png,5,Hyundai_logo.png
273,Verna VGT,Hyundai,2010,205000,47900,Diesel,Hyundai.png,5,Hyundai_logo.png
274,Xcent Base,Hyundai,2016,300000,140000,Diesel,Hyundai.png,5,Hyundai_logo.png
275,Xcent SX,Hyundai,2015,400000,43000,Diesel,Hyundai.png,5,Hyundai_logo.png
276,XE XE,Jaguar,2016,2800000,8500,Petrol,Jaguar.png,5,Jaguar_logo.png
277,XF 2.2,Jaguar,2013,2190000,29000,Diesel,Jaguar.png,5,Jaguar_logo.png
278,Wrangler Unlimited,Jeep,2015,950000,3528,Diesel,Jeep.png,7,Jeep_logo.png
279,Bolero DI,Mahindra,2017,180000,23452,Diesel,Mahindra.png,7,Mahindra_logo.png
280,Bolero DI,Mahindra,2012,220000,59466,Diesel,Mahindra.png,7,Mahindra_logo.png
281,Bolero Power,Mahindra,2018,699000,1800,Diesel,Mahindra.png,7,Mahindra_logo.png
282,Bolero SLE,Mahindra,2013,330000,80200,Diesel,Mahindra.png,7,Mahindra_logo.png
283,Jeep CL550,Mahindra,2006,425000,40,Diesel,Mahindra.png,7,Mahindra_logo.png
284,Jeep CL550,Mahindra,2019,379000,0,Diesel,Mahindra.png,7,Mahindra_logo.png
285,Jeep CL550,Mahindra,2018,385000,588,Diesel,Mahindra.png,7,Mahindra_logo.png
286,Jeep MM,Mahindra,2019,390000,60,Diesel,Mahindra.png,6,Mahindra_logo.png
287,Jeep MM,Mahindra,2006,425000,122,Diesel,Mahindra.png,6,Mahindra_logo.png
288,Jeep MM,Mahindra,2004,424000,383,Diesel,Mahindra.png,6,Mahindra_logo.png
289,KUV100,Mahindra,2017,360000,35000,Diesel,Mahindra.png,6,Mahindra_logo.png
290,KUV101,Mahindra,2016,380000,26500,Petrol,Mahindra.png,6,Mahindra_logo.png
